,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Max Speed,Average Speed,Calories,data_ano,data_mes,tempo_min
0,0,3763864420,"Jul 14, 2020, 10:36:55 PM",Corrida no CavoucÃÂ£o,Run,,3378,6.32,,5.800000190734863,1.9397730827331543,637.270263671875,2020,7,56.3
1,1,3785578121,"Jul 15, 2020, 11:44:01 PM",Funcional,Workout,,1785,0.0,151.0,0.0,0.0,,2020,7,29.75
2,2,3785578976,"Jul 17, 2020, 9:39:24 PM",Funcional,Workout,,1808,0.0,166.0,0.0,0.0,,2020,7,30.133333333333333
3,3,3787254231,"Jul 19, 2020, 4:08:30 PM",Corrida,Walk,Cavouco,3178,5.64,188.0,8.899999618530273,1.8524622917175293,519.9712524414062,2020,7,52.96666666666667
4,4,3787367551,"Jul 11, 2020, 10:10:58 PM",Corrida,Run,,3767,7.0,183.0,7.300000190734863,1.8883193731307983,943.0,2020,7,62.78333333333333
5,5,3787376822,"Jul 10, 2020, 10:23:48 PM",Funcional,Workout,,3648,0.34,171.0,8.600000381469727,0.094024121761322,550.0,2020,7,60.8
6,6,3787407219,"Jul 8, 2020, 10:38:54 PM",Funcional,Workout,,4104,0.04,136.0,8.600000381469727,0.0104775829240679,481.0,2020,7,68.4
7,7,3787416280,"Jul 7, 2020, 10:37:45 PM",Corrida,Run,,4064,6.75,188.0,3.0999999046325684,2.0035619735717773,952.0,2020,7,67.73333333333333
8,8,3787425947,"Jul 3, 2020, 11:14:50 PM",Funcional,Workout,,4240,0.31,157.0,9.600000381469728,0.0745282992720604,639.0,2020,7,70.66666666666667
9,9,3787435472,"Jul 1, 2020, 10:55:00 PM",Funcional,Workout,,3135,0.28,144.0,0.0,0.0918660312891006,420.0,2020,7,52.25
10,10,3787442152,"Jun 29, 2020, 10:34:00 PM",Funcional,Workout,,2936,0.33,148.0,0.0,0.1151226162910461,441.0,2020,6,48.93333333333333
11,11,3787449134,"Jun 25, 2020, 8:25:42 PM",Corrida,Run,,2748,2.5,183.0,2.900000095367432,1.5124017000198364,632.0,2020,6,45.8
12,12,3787451685,"Jun 20, 2020, 9:33:58 PM",Corrida,Run,,3782,6.87,193.0,2.700000047683716,1.841329455375672,947.0,2020,6,63.03333333333333
13,13,3787457310,"Jun 19, 2020, 10:40:00 PM",Funcional,Workout,,6296,0.68,171.0,7.599999904632568,0.1078462526202201,842.0,2020,6,104.93333333333334
14,14,3787464688,"Jun 18, 2020, 10:04:38 PM",Funcional,Workout,,3557,0.34,158.0,8.600000381469727,0.0978352576494216,477.0,2020,6,59.28333333333333
15,15,3787473079,"Jun 16, 2020, 9:49:22 PM",Corrida,Run,,2297,5.02,188.0,3.0,2.190226793289185,613.0,2020,6,38.28333333333333
16,16,3787518871,"Jun 13, 2020, 9:11:39 PM",Corrida,Run,,3081,5.83,189.0,3.5,1.9021207094192505,874.0,2020,6,51.35
17,17,3787546075,"Jun 15, 2020, 9:33:00 PM",Funcional,Workout,,4716,0.49,164.0,5.5,0.1041136533021926,709.0,2020,6,78.6
18,18,3787547676,"Jun 12, 2020, 9:41:21 PM",Corrida,Run,,4570,7.81,188.0,6.300000190734863,1.7843271493911743,1152.0,2020,6,76.16666666666667
19,19,3787551351,"Jun 9, 2020, 10:01:02 PM",Corrida,Run,,3021,5.41,181.0,3.0,1.868093967437744,707.0,2020,6,50.35
20,20,3787558048,"Jun 10, 2020, 11:48:19 PM",Funcional,Workout,,2589,0.06,154.0,4.599999904632568,0.0254924688488245,347.0,2020,6,43.15
21,21,3787559304,"Jun 6, 2020, 10:19:47 PM",Funcional,Workout,,3557,0.41,157.0,9.399999618530272,0.1149845346808433,594.0,2020,6,59.28333333333333
22,22,3787563212,"Jun 5, 2020, 10:53:00 PM",Funcional,Workout,,2925,0.03,157.0,2.799999952316284,0.0119658121839165,392.0,2020,6,48.75
23,23,3787569364,"Jun 3, 2020, 11:02:00 PM",Funcional,Workout,,3891,0.13,141.0,9.199999809265137,0.0352094583213329,521.0,2020,6,64.85
24,24,3787572592,"May 31, 2020, 2:36:47 PM",Corrida,Run,,4528,7.14,184.0,6.400000095367432,1.7171716690063477,982.0,2020,5,75.46666666666667
25,25,3787575323,"Jun 1, 2020, 10:38:00 PM",Funcional,Workout,,5504,0.97,171.0,9.0,0.1775072664022445,920.0,2020,6,91.73333333333332
26,26,3787590991,"May 29, 2020, 9:46:44 PM",Funcional,Workout,,3730,0.3,139.0,8.0,0.0820375308394432,438.0,2020,5,62.16666666666666
27,27,3787600597,"May 28, 2020, 9:20:35 PM",Corrida,Run,,3200,6.34,193.0,3.299999952316284,1.9955933094024656,907.0,2020,5,53.333333333333336
28,28,3787611829,"May 26, 2020, 9:28:39 PM",Corrida,Run,,2125,3.81,185.0,2.5,1.8824111223220823,556.0,2020,5,35.416666666666664
29,29,3787625806,"May 21, 2020, 10:02:33 PM",Corrida,Run,,3172,5.19,186.0,12.800000190734863,1.7743589878082275,796.0,2020,5,52.86666666666667
30,30,3787627874,"May 25, 2020, 9:19:11 PM",Funcional,Workout,,2364,0.03,146.0,3.200000047683716,0.0156514383852481,315.0,2020,5,39.4
31,31,3787652705,"May 20, 2020, 10:44:27 PM",Funcional,Workout,,2860,0.77,158.0,0.0,0.2692307829856872,480.0,2020,5,47.66666666666666
32,32,3787704272,"May 18, 2020, 10:12:48 PM",Funcional,Workout,,3860,0.1,123.0,6.800000190734863,0.0266839377582073,451.0,2020,5,64.33333333333333
33,33,3787708774,"May 17, 2020, 8:42:18 PM",Corrida,Run,,3282,5.73,187.0,7.5,1.8377164602279663,826.0,2020,5,54.7
34,34,3787755125,"May 14, 2020, 10:36:10 PM",Corrida,Run,,3161,6.12,190.0,3.0,1.9403932094573968,850.0,2020,5,52.68333333333333
35,35,3787830842,"May 11, 2020, 10:21:20 PM",Corrida,Run,,2803,5.56,185.0,2.700000047683716,2.010849952697754,750.0,2020,5,46.71666666666667
36,36,3787836914,"May 8, 2020, 10:10:58 PM",Corrida,Run,,2706,5.59,186.0,2.700000047683716,2.06960391998291,725.0,2020,5,45.1
37,37,3787839903,"May 6, 2020, 10:07:33 PM",Funcional,Workout,,2907,0.51,162.0,10.0,0.1771585792303085,439.0,2020,5,48.45
38,38,3787844563,"May 5, 2020, 10:30:00 PM",Funcional,Workout,,3244,1.43,140.0,4.0,0.4414303302764892,433.0,2020,5,54.06666666666667
39,39,3787848167,"May 13, 2020, 10:22:00 PM",Funcional,Workout,,2658,0.33,155.0,0.0,0.1245297193527221,400.0,2020,5,44.3
40,40,3787853375,"May 4, 2020, 9:35:41 PM",Corrida,Run,,3380,6.06,188.0,2.700000047683716,1.795555591583252,854.0,2020,5,56.333333333333336
41,41,3787875810,"May 2, 2020, 8:10:09 PM",Ciclismo,Ride,,5868,22.04,153.0,6.0,4.033675193786621,1077.0,2020,5,97.8
42,42,3787882628,"Apr 30, 2020, 10:42:56 PM",Funcional,Workout,,2978,0.59,138.0,0.0,0.1997985243797302,400.0,2020,4,49.63333333333333
43,43,3790235132,"Apr 29, 2020, 12:14:20 AM",Funcional,Workout,,2416,0.31,149.0,4.199999809265137,0.1299668848514557,365.0,2020,4,40.266666666666666
44,44,3790239577,"Apr 29, 2020, 11:02:00 PM",Funcional,Workout,,2921,0.38,156.0,0.2000000029802322,0.132488876581192,438.0,2020,4,48.68333333333333
45,45,3790250507,"Apr 25, 2020, 7:35:45 PM",Ciclismo,Ride,,7142,28.79,185.0,7.400000095367432,4.565493106842041,1668.0,2020,4,119.03333333333332
46,46,3790282858,"Apr 23, 2020, 9:51:35 PM",Corrida,Run,,2458,4.01,189.0,2.5,1.6334012746810913,575.0,2020,4,40.96666666666667
47,47,3790301257,"Apr 22, 2020, 10:21:08 PM",Corrida,Run,,3450,7.75,189.0,18.299999237060547,2.2820966243743896,864.0,2020,4,57.5
48,48,3790368556,"Apr 20, 2020, 10:11:39 PM",Funcional,Workout,,2266,0.14,169.0,0.0,0.0644307136535644,381.0,2020,4,37.766666666666666
49,49,3790384244,"Apr 15, 2020, 9:38:47 PM",Funcional,Workout,,3698,0.22,159.0,8.199999809265137,0.0616549476981163,432.0,2020,4,61.63333333333333
50,50,3790426020,"Apr 14, 2020, 10:26:58 PM",Corrida,Run,,3487,6.23,187.0,2.799999952316284,1.792805790901184,877.0,2020,4,58.11666666666667
51,51,3790557003,"Apr 13, 2020, 11:03:45 PM",Funcional,Workout,,3302,0.43,163.0,6.199999809265137,0.1308297961950302,441.0,2020,4,55.03333333333333
52,52,3790607670,"Apr 11, 2020, 7:11:38 PM",Ciclismo,Ride,,6994,24.09,154.0,5.699999809265137,4.235976696014404,1167.0,2020,4,116.56666666666666
53,53,3790681960,"Apr 9, 2020, 9:20:07 PM",Corrida,Run,,3416,6.0,181.0,2.700000047683716,1.7673048973083496,796.0,2020,4,56.93333333333333
54,54,3790711696,"Apr 8, 2020, 11:02:00 PM",Funcional,Workout,,2514,0.13,158.0,0.0,0.0529037378728389,336.0,2020,4,41.9
55,55,3790753774,"Apr 7, 2020, 10:52:47 PM",Corrida,Run,,3848,7.55,188.0,2.700000047683716,1.9712793827056885,1091.0,2020,4,64.13333333333334
56,56,3790764960,"Apr 4, 2020, 8:25:23 PM",Corrida,Run,,2522,4.02,180.0,2.0,1.6060726642608645,674.0,2020,4,42.03333333333333
57,57,3790769164,"Apr 5, 2020, 7:51:54 PM",Corrida,Run,,4274,6.39,184.0,2.700000047683716,1.8871824741363523,1005.0,2020,4,71.23333333333333
58,58,3790773640,"Apr 2, 2020, 11:28:44 PM",Funcional,Workout,,1774,0.09,160.0,0.0,0.0524239018559455,299.0,2020,4,29.566666666666663
59,59,3790788215,"Apr 1, 2020, 10:05:47 PM",Caminhada,Walk,,3866,7.18,178.0,2.799999952316284,1.857216715812683,838.0,2020,4,64.43333333333334
60,60,3790837703,"Mar 30, 2020, 10:08:55 PM",Caminhada,Walk,,2094,3.28,170.0,2.400000095367432,1.589917540550232,455.0,2020,3,34.9
61,61,3790849019,"Mar 28, 2020, 10:31:40 PM",Caminhada,Walk,,3435,6.08,181.0,2.700000047683716,1.7966903448104858,865.0,2020,3,57.25
62,62,3790887339,"Mar 27, 2020, 10:02:01 PM",Caminhada,Walk,,3631,7.3,189.0,14.899999618530272,2.010465383529663,922.0,2020,3,60.516666666666666
