latitude,longitude,elevation
-8.044875,-34.939203,13.4
-8.044868,-34.939212,13.4
-8.04486,-34.93922,13.4
-8.044853,-34.939229,13.4
-8.044845,-34.939238,13.4
-8.044838,-34.939246,13.4
-8.04483,-34.939255,13.4
-8.044823,-34.939263,13.4
-8.044816,-34.939272,13.4
-8.044808,-34.939281,13.4
-8.044801,-34.939289,13.4
-8.044793,-34.939298,13.4
-8.044786,-34.939307,13.4
-8.044778,-34.939315,13.4
-8.044771,-34.939324,13.4
-8.044764,-34.939332,13.4
-8.044756,-34.939341,13.4
-8.044749,-34.93935,13.4
-8.044741,-34.939358,13.4
-8.044734,-34.939367,13.4
-8.044726,-34.939376,13.4
-8.044719,-34.939384,13.4
-8.044712,-34.939393,13.4
-8.044704,-34.939401,13.4
-8.044697,-34.93941,13.4
-8.044689,-34.939419,13.4
-8.044682,-34.939427,13.4
-8.044674,-34.939436,13.4
-8.044667,-34.939445,13.4
-8.04466,-34.939453,13.4
-8.044652,-34.939462,13.4
-8.044645,-34.93947,13.4
-8.044637,-34.939479,13.4
-8.04463,-34.939488,13.4
-8.044622,-34.939496,13.4
-8.044615,-34.939505,13.4
-8.044355,-34.939807,13.4
-8.04436,-34.939806,13.4
-8.044366,-34.939805,13.4
-8.044371,-34.939803,13.4
-8.044377,-34.939802,13.4
-8.044382,-34.939801,13.4
-8.044387,-34.9398,13.4
-8.044393,-34.939799,13.4
-8.044398,-34.939797,13.4
-8.044403,-34.939796,13.4
-8.044409,-34.939795,13.4
-8.044414,-34.939794,13.4
-8.04442,-34.939793,13.4
-8.044425,-34.939792,13.4
-8.04443,-34.93979,13.4
-8.044436,-34.939789,13.4
-8.044441,-34.939788,13.4
-8.044446,-34.939787,13.4
-8.044452,-34.939786,13.4
-8.044457,-34.939784,13.4
-8.044463,-34.939783,13.4
-8.044468,-34.939782,13.4
-8.044581,-34.939756,13.4
-8.044596,-34.939759,13.4
-8.04461,-34.939763,13.4
-8.044625,-34.939766,13.4
-8.044637,-34.939766,13.4
-8.044649,-34.939766,13.4
-8.04466,-34.939766,13.4
-8.044672,-34.939766,13.4
-8.044684,-34.939766,13.4
-8.044699,-34.939768,13.4
-8.044713,-34.939769,13.4
-8.044728,-34.939771,13.4
-8.044742,-34.939773,13.4
-8.044756,-34.939775,13.4
-8.044769,-34.939777,13.4
-8.044783,-34.939779,13.4
-8.044796,-34.939781,13.4
-8.044808,-34.939781,13.4
-8.044821,-34.939781,13.4
-8.044833,-34.939781,13.4
-8.044845,-34.939781,13.4
-8.044859,-34.939779,13.4
