,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Max Speed,Average Speed,Calories,data_ano,data_mes,dia_semana,tempo_min
0,1211,13251290841,"Jan 2, 2025, 10:16:07 PM",Afternoon Walk,Walk,,833,1.01,132.0,0.0,1.220888376235962,113.0,2025,1,Quinta,13.883333333333333
1,1212,13251321223,"Jan 2, 2025, 10:30:11 PM",Evening Run,Run,,3566,3.99,138.0,3.528066635131836,2.371129035949707,438.0,2025,1,Quinta,59.43333333333333
2,1213,13259785251,"Jan 3, 2025, 9:19:24 PM",Afternoon Workout,Workout,,4103,0.0,127.0,0.0,0.0,409.0,2025,1,Sexta,68.38333333333334
3,1214,13285959366,"Jan 6, 2025, 10:11:06 PM",Afternoon Workout,Workout,,3835,0.0,170.0,0.0,0.0,439.0,2025,1,Segunda,63.91666666666666
4,1215,13298120361,"Jan 7, 2025, 10:31:39 PM",Evening Walk,Walk,,1446,2.14,134.0,2.946249485015869,1.4990748167037964,201.0,2025,1,Terca,24.1
5,1216,13298120625,"Jan 7, 2025, 10:56:30 PM",Corrida rÃÂ¡pida na UFPE,Run,,996,2.23,189.0,3.7998666763305664,2.259639501571656,201.0,2025,1,Terca,16.6
6,1217,13315344410,"Jan 9, 2025, 9:50:11 PM",Evening Walk,Walk,,769,1.1,130.0,5.077280044555664,1.430061101913452,97.0,2025,1,Quinta,12.816666666666666
7,1218,13315345476,"Jan 9, 2025, 10:03:10 PM",Evening Run,Run,,2813,6.14,190.0,3.8613362312316895,2.312695264816284,620.0,2025,1,Quinta,46.88333333333333
8,1219,13339453109,"Jan 10, 2025, 10:45:35 PM",Afternoon Workout,Workout,,5719,0.0,136.0,0.0,0.0,556.0,2025,1,Sexta,95.31666666666666
9,1220,13339453149,"Jan 12, 2025, 7:11:08 PM",Afternoon Walk,Walk,,708,1.18,130.0,9.51279640197754,1.6718800067901611,99.0,2025,1,Domingo,11.8
10,1221,13339453289,"Jan 12, 2025, 7:23:03 PM",Afternoon Run,Run,,3254,7.21,185.0,4.96561336517334,2.348634719848633,635.0,2025,1,Domingo,54.23333333333333
11,1222,13348221381,"Jan 13, 2025, 10:04:27 PM",Afternoon Workout,Workout,,4576,0.0,134.0,0.0,0.0,462.0,2025,1,Segunda,76.26666666666667
12,1223,13366383264,"Jan 15, 2025, 8:14:58 PM",Afternoon Walk,Walk,,2138,1.99,143.0,2.445573806762696,1.0133099555969238,242.0,2025,1,Quarta,35.63333333333333
13,1224,13366383313,"Jan 15, 2025, 8:57:26 PM",Afternoon Walk,Walk,,862,1.22,124.0,3.36358642578125,1.4211902618408203,112.0,2025,1,Quarta,14.366666666666667
14,1225,13366383402,"Jan 15, 2025, 9:11:57 PM",Evening Run,Run,,1033,2.09,187.0,4.6541523933410645,2.058444261550904,214.0,2025,1,Quarta,17.216666666666665
15,1226,13409387905,"Jan 20, 2025, 8:57:16 PM",Lunch Workout,Workout,,4080,0.0,140.0,0.0,0.0,442.0,2025,1,Segunda,68.0
16,1227,13418836212,"Jan 21, 2025, 10:37:47 PM",Afternoon Workout,Workout,,309,0.0,144.0,0.0,0.0,46.0,2025,1,Terca,5.15
17,1228,13418836295,"Jan 21, 2025, 10:43:01 PM",Afternoon Run,Run,,27,0.03,138.0,0.0,1.1111111640930176,4.0,2025,1,Terca,0.45
18,1229,13418836805,"Jan 21, 2025, 10:43:35 PM",Evening Run,Run,,3137,5.26,193.0,3.954737901687622,2.343907356262207,646.0,2025,1,Terca,52.28333333333333
19,1230,13428138255,"Jan 22, 2025, 10:06:34 PM",Afternoon Workout,Workout,,4886,0.0,139.0,0.0,0.0,534.0,2025,1,Quarta,81.43333333333334
20,1231,13443437392,"Jan 24, 2025, 9:53:41 PM",Afternoon Workout,Workout,,4345,0.0,133.0,0.0,0.0,456.0,2025,1,Sexta,72.41666666666667
21,1232,13473499094,"Jan 27, 2025, 8:41:16 PM",Lunch Workout,Workout,,696,0.0,132.0,0.0,0.0,95.0,2025,1,Segunda,11.6
22,1233,13473499343,"Jan 27, 2025, 8:53:16 PM",Afternoon Run,Run,,3035,7.04,199.0,4.278507232666016,2.402907133102417,701.0,2025,1,Segunda,50.583333333333336
23,1234,13479592928,"Jan 28, 2025, 11:07:42 PM",Afternoon Workout,Workout,,4481,0.0,128.0,0.0,0.0,460.0,2025,1,Terca,74.68333333333334
24,1235,13497193943,"Jan 30, 2025, 10:37:24 PM",Afternoon Workout,Workout,,378,0.0,150.0,0.0,0.0,59.0,2025,1,Quinta,6.3
25,1236,13497194132,"Jan 30, 2025, 10:43:51 PM",Evening Run,Run,,3509,7.95,187.0,4.049304962158203,2.432120084762573,705.0,2025,1,Quinta,58.48333333333333
26,1237,13504536535,"Jan 31, 2025, 7:56:17 PM",Afternoon Walk,Walk,,2454,2.14,128.0,2.97100830078125,1.0276761054992676,245.0,2025,1,Sexta,40.9
27,1238,13559874177,"Feb 6, 2025, 9:42:14 PM",Afternoon Workout,Workout,,3886,0.0,173.0,0.0,0.0,560.0,2025,2,Quinta,64.76666666666667
28,1239,13567878360,"Feb 7, 2025, 10:04:28 PM",Afternoon Workout,Workout,,4095,0.0,161.0,0.0,0.0,490.0,2025,2,Sexta,68.25
29,1240,13576791372,"Feb 8, 2025, 8:26:17 PM",Lunch Workout,Workout,,469,0.0,135.0,0.0,0.0,62.0,2025,2,Sabado,7.816666666666666
30,1241,13576791632,"Feb 8, 2025, 8:34:12 PM",Afternoon Run,Run,,4050,8.0,193.0,3.816641569137573,2.2980728149414062,811.0,2025,2,Sabado,67.5
31,1242,13603896775,"Feb 11, 2025, 9:48:50 PM",Evening Walk,Walk,,2785,3.95,152.0,2.4644975662231445,1.4359086751937866,440.0,2025,2,Terca,46.41666666666666
32,1243,13612684094,"Feb 12, 2025, 10:04:03 PM",Afternoon Workout,Workout,,4045,0.0,159.0,0.0,0.0,538.0,2025,2,Quarta,67.41666666666667
33,1244,13629177307,"Feb 14, 2025, 11:01:19 AM",Morning Walk,Walk,,1513,2.3,148.0,4.384354591369629,1.5222736597061155,217.0,2025,2,Sexta,25.216666666666665
34,1245,13629177349,"Feb 14, 2025, 11:38:43 PM",Afternoon Workout,Workout,,3462,0.0,179.0,0.0,0.0,549.0,2025,2,Sexta,57.7
35,1246,13637526613,"Feb 15, 2025, 9:13:42 PM",Evening Walk,Walk,,1468,2.17,162.0,2.3207240104675293,1.5010071992874146,252.0,2025,2,Sabado,24.466666666666665
36,1247,13637526699,"Feb 15, 2025, 9:38:19 PM",Evening Run,Run,,1805,4.03,181.0,3.957841396331787,2.297297477722168,322.0,2025,2,Sabado,30.08333333333333
37,1248,13674302094,"Feb 19, 2025, 10:51:57 PM",Afternoon Workout,Workout,,3535,0.0,168.0,0.0,0.0,428.0,2025,2,Quarta,58.91666666666666
38,1249,13682801836,"Feb 20, 2025, 10:30:24 PM",Afternoon Workout,Workout,,454,0.0,157.0,0.0,0.0,78.0,2025,2,Quinta,7.566666666666666
39,1250,13682802168,"Feb 20, 2025, 10:38:06 PM",Evening Run,Run,,3510,7.11,188.0,4.063852310180664,2.3248958587646484,707.0,2025,2,Quinta,58.5
40,1251,13690627499,"Feb 21, 2025, 10:02:31 PM",Afternoon Workout,Workout,,3891,0.0,171.0,0.0,0.0,564.0,2025,2,Sexta,64.85
41,1252,13708948764,"Feb 23, 2025, 7:16:00 PM",Afternoon Walk,Walk,,1360,1.99,135.0,3.2508814334869385,1.4923999309539795,180.0,2025,2,Domingo,22.666666666666668
42,1253,13708948770,"Feb 23, 2025, 7:39:06 PM",Afternoon Run,Run,,1275,3.1,178.0,3.814076662063599,2.465049266815185,270.0,2025,2,Domingo,21.25
43,1254,13727885100,"Feb 25, 2025, 10:20:05 PM",Evening Walk,Walk,,701,0.99,149.0,2.702209711074829,1.48421049118042,116.0,2025,2,Terca,11.683333333333334
44,1255,13727885133,"Feb 25, 2025, 10:31:53 PM",Evening Run,Run,,2726,6.04,185.0,4.12639856338501,2.4057979583740234,494.0,2025,2,Terca,45.43333333333333
45,1256,13737015292,"Feb 26, 2025, 10:10:04 PM",Afternoon Workout,Workout,,3713,0.0,175.0,0.0,0.0,530.0,2025,2,Quarta,61.88333333333333
46,1257,13746176142,"Feb 27, 2025, 10:16:51 PM",Evening Walk,Walk,,798,1.11,132.0,3.459205150604248,1.4835195541381836,105.0,2025,2,Quinta,13.3
47,1258,13746176292,"Feb 27, 2025, 10:30:21 PM",Evening Run,Run,,2993,7.02,189.0,4.085292816162109,2.3540802001953125,678.0,2025,2,Quinta,49.88333333333333
48,1259,13800286062,"Mar 5, 2025, 9:18:02 PM",Afternoon Workout,Workout,,2888,0.0,154.0,0.0,0.0,387.0,2025,3,Quarta,48.13333333333333
49,1260,13809721760,"Mar 6, 2025, 9:33:55 PM",Evening Walk,Walk,,713,1.09,150.0,3.60598349571228,1.5339053869247437,97.0,2025,3,Quinta,11.883333333333333
50,1261,13809721894,"Mar 6, 2025, 9:46:25 PM",Evening Run,Run,,3706,8.05,191.0,5.047123908996582,2.321190357208252,753.0,2025,3,Quinta,61.766666666666666
51,1262,13818080069,"Mar 7, 2025, 9:44:45 PM",Afternoon Workout,Workout,,3648,0.0,154.0,0.0,0.0,482.0,2025,3,Sexta,60.8
52,1263,13857243010,"Mar 11, 2025, 9:56:08 PM",Evening Walk,Walk,,618,0.98,134.0,9.367424964904783,1.687164545059204,85.0,2025,3,Terca,10.3
53,1264,13857243052,"Mar 11, 2025, 10:06:33 PM",Evening Run,Run,,1724,3.0,187.0,4.190248012542725,1.814161777496338,354.0,2025,3,Terca,28.73333333333333
54,1265,13857243215,"Mar 11, 2025, 11:09:58 PM",Evening Walk,Walk,,567,0.83,136.0,2.965085506439209,1.4719856977462769,82.0,2025,3,Terca,9.45
55,1266,13857243233,"Mar 11, 2025, 10:39:11 PM",Evening Run,Run,,1747,4.03,177.0,3.594198942184448,2.38788104057312,364.0,2025,3,Terca,29.116666666666667
56,1267,13867070812,"Mar 12, 2025, 9:18:22 PM",Afternoon Workout,Workout,,3290,0.0,170.0,0.0,0.0,456.0,2025,3,Quarta,54.833333333333336
